max_df,min_df,max_features,actual_words,acc,prec,rec,f1,K,alpha,timeKNN,timePCA
0.2,0.02,10000,911,0.5697211155378487,0.5348428997718098,0.9838553438811753,0.6929724812372073,450,600,211.95626187324524,689.3205819129944
0.2,0.02,10000,911,0.5692430278884462,0.5345614035087719,0.9838553438811753,0.6927361600545641,550,600,212.22930884361267,689.3205819129944
0.2,0.02,10000,911,0.5791235059760956,0.5404973357015985,0.9825637713916694,0.6973759596654062,800,600,196.55411505699158,689.3205819129944
0.2,0.02,10000,911,0.6372908366533865,0.5798482785450302,0.9625443978043268,0.72371934935664,1500,600,213.3230700492859,689.3205819129944
0.2,0.01,10000,1721,0.6662948207171314,0.6712188460225332,0.634807878592186,0.65250580816462,25,0,301.8727948665619,0.00504612922668457
0.2,0.01,10000,1721,0.5633466135458167,0.5310921442257447,0.9845011301259283,0.6899751074903825,250,0,282.0392870903015,0.00504612922668457
0.2,0.01,10000,1721,0.5352988047808765,0.5152177568521944,0.9893445269615757,0.6775762936753648,450,0,281.4950349330902,0.00504612922668457
0.2,0.01,10000,1721,0.5359362549800797,0.5155592935239697,0.9896674200839523,0.6779473567794735,550,0,282.1899917125702,0.00504612922668457
0.2,0.01,10000,1721,0.5577689243027888,0.5277013076393668,0.9903132063287052,0.6885172297676507,800,0,282.0851631164551,0.00504612922668457
0.2,0.01,10000,1721,0.7198406374501992,0.6500784577449003,0.9363900548918308,0.7673987827467584,1500,0,282.2112100124359,0.00504612922668457
0.2,0.01,10000,1721,0.6919521912350598,0.6997254632807138,0.65837907652567,0.6784228913658293,25,10,3.164369821548462,40.79228210449219
0.2,0.01,10000,1721,0.7013545816733068,0.7192542129795626,0.6477236034872457,0.6816173972137275,250,10,3.152892827987671,40.79228210449219
0.2,0.01,10000,1721,0.7007171314741036,0.7306091562618237,0.6235066193090087,0.6728222996515679,450,10,3.14975905418396,40.79228210449219
0.2,0.01,10000,1721,0.7002390438247011,0.7336664104534973,0.6164029706167259,0.6699420951044043,550,10,3.1706318855285645,40.79228210449219
0.2,0.01,10000,1721,0.6976892430278885,0.7407704654895666,0.5960607039070068,0.6605832886026124,800,10,3.121088981628418,40.79228210449219
0.2,0.01,10000,1721,0.6903585657370518,0.7592093441150045,0.5456893768162738,0.6349802742814203,1500,10,3.132772922515869,40.79228210449219
0.2,0.01,10000,1721,0.7069322709163347,0.7146757679180887,0.6761381982563771,0.6948730711796913,25,50,10.018961906433105,194.54936289787292
0.2,0.01,10000,1721,0.7424701195219123,0.7613836921990822,0.6964804649660962,0.7274873524451939,250,50,10.044983148574829,194.54936289787292
0.2,0.01,10000,1721,0.7432669322709163,0.7745750184774575,0.6767839845011301,0.7223849732896777,450,50,9.957495927810669,194.54936289787292
0.2,0.01,10000,1721,0.7459760956175299,0.7792642140468228,0.6771068776235066,0.7246026261230132,550,50,9.91152572631836,194.54936289787292
0.2,0.01,10000,1721,0.744382470119522,0.780744640842422,0.6703261220536002,0.7213342599027102,800,50,9.933275938034058,194.54936289787292
0.2,0.01,10000,1721,0.7370517928286853,0.8188629352137505,0.5999354213755247,0.6925083861349236,1500,50,9.9842848777771,194.54936289787292
0.2,0.01,10000,1721,0.710597609561753,0.7030110935023772,0.7161769454310624,0.709532949456174,25,200,52.95233988761902,775.0320329666138
0.2,0.01,10000,1721,0.7461354581673306,0.6950207468879668,0.8653535679690023,0.7708902631957428,250,200,53.206977128982544,775.0320329666138
0.2,0.01,10000,1721,0.7429482071713147,0.687753036437247,0.877623506619309,0.7711732160590155,450,200,52.451550245285034,775.0320329666138
0.2,0.01,10000,1721,0.7295617529880478,0.6710654936461388,0.8866645140458508,0.76394491584365,550,200,52.47913193702698,775.0320329666138
0.2,0.01,10000,1721,0.7212749003984064,0.6603235014272122,0.8963513077171457,0.7604437748253663,800,200,51.66858506202698,775.0320329666138
0.2,0.01,10000,1721,0.7627091633466135,0.7327735958309207,0.8172424927349048,0.7727064570294612,1500,200,52.222166776657104,775.0320329666138
0.2,0.01,10000,1721,0.6710756972111553,0.6341906988828268,0.7881821117210204,0.7028505614742298,25,600,198.48574018478394,2444.4272949695587
